
###################
Card test (random test) - Adventurer
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[270] -- Handsize[367] -- Decksize[479]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[271] -- Handsize[313] -- Decksize[21]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[272] -- Handsize[259] -- Decksize[64]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[273] -- Handsize[204] -- Decksize[106]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[274] -- Handsize[150] -- Decksize[149]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[275] -- Handsize[96] -- Decksize[191]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[276] -- Handsize[42] -- Decksize[234]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[277] -- Handsize[488] -- Decksize[276]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[278] -- Handsize[433] -- Decksize[319]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[279] -- Handsize[379] -- Decksize[362]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[280] -- Handsize[325] -- Decksize[404]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[281] -- Handsize[271] -- Decksize[447]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[282] -- Handsize[217] -- Decksize[489]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[283] -- Handsize[162] -- Decksize[32]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[284] -- Handsize[108] -- Decksize[74]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[285] -- Handsize[54] -- Decksize[117]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[286] -- Handsize[0] -- Decksize[159]
#TESTS PASSED: 2, TESTS FAILED: 1
-- Seed[287] -- Handsize[446] -- Decksize[202]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[288] -- Handsize[392] -- Decksize[244]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[289] -- Handsize[337] -- Decksize[287]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[290] -- Handsize[283] -- Decksize[329]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[291] -- Handsize[229] -- Decksize[372]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[292] -- Handsize[175] -- Decksize[414]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[293] -- Handsize[121] -- Decksize[457]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[294] -- Handsize[66] -- Decksize[499]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[295] -- Handsize[12] -- Decksize[42]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[296] -- Handsize[458] -- Decksize[84]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[297] -- Handsize[404] -- Decksize[127]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[298] -- Handsize[350] -- Decksize[169]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[299] -- Handsize[295] -- Decksize[212]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[300] -- Handsize[241] -- Decksize[254]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[301] -- Handsize[187] -- Decksize[297]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[302] -- Handsize[133] -- Decksize[339]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[303] -- Handsize[79] -- Decksize[382]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[304] -- Handsize[24] -- Decksize[424]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[305] -- Handsize[470] -- Decksize[467]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[306] -- Handsize[416] -- Decksize[9]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[307] -- Handsize[362] -- Decksize[52]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[308] -- Handsize[308] -- Decksize[94]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[309] -- Handsize[253] -- Decksize[137]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[310] -- Handsize[199] -- Decksize[180]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[311] -- Handsize[145] -- Decksize[222]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[312] -- Handsize[91] -- Decksize[265]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[313] -- Handsize[37] -- Decksize[307]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[314] -- Handsize[482] -- Decksize[350]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[315] -- Handsize[428] -- Decksize[392]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[316] -- Handsize[374] -- Decksize[435]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[317] -- Handsize[320] -- Decksize[477]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[318] -- Handsize[266] -- Decksize[20]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[319] -- Handsize[211] -- Decksize[62]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[320] -- Handsize[157] -- Decksize[105]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[321] -- Handsize[103] -- Decksize[147]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[322] -- Handsize[49] -- Decksize[190]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[323] -- Handsize[495] -- Decksize[232]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[324] -- Handsize[441] -- Decksize[275]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[325] -- Handsize[386] -- Decksize[317]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[326] -- Handsize[332] -- Decksize[360]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[327] -- Handsize[278] -- Decksize[402]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[328] -- Handsize[224] -- Decksize[445]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[329] -- Handsize[170] -- Decksize[487]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[330] -- Handsize[115] -- Decksize[30]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[331] -- Handsize[61] -- Decksize[72]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[332] -- Handsize[7] -- Decksize[115]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[333] -- Handsize[453] -- Decksize[157]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[334] -- Handsize[399] -- Decksize[200]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[335] -- Handsize[344] -- Decksize[242]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[336] -- Handsize[290] -- Decksize[285]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[337] -- Handsize[236] -- Decksize[327]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[338] -- Handsize[182] -- Decksize[370]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[339] -- Handsize[128] -- Decksize[413]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[340] -- Handsize[73] -- Decksize[455]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[341] -- Handsize[19] -- Decksize[498]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[342] -- Handsize[465] -- Decksize[40]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[343] -- Handsize[411] -- Decksize[83]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[344] -- Handsize[357] -- Decksize[125]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[345] -- Handsize[302] -- Decksize[168]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[346] -- Handsize[248] -- Decksize[210]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[347] -- Handsize[194] -- Decksize[253]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[348] -- Handsize[140] -- Decksize[295]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[349] -- Handsize[86] -- Decksize[338]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[350] -- Handsize[31] -- Decksize[380]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[351] -- Handsize[477] -- Decksize[423]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[352] -- Handsize[423] -- Decksize[465]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[353] -- Handsize[369] -- Decksize[8]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[354] -- Handsize[315] -- Decksize[50]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[355] -- Handsize[261] -- Decksize[93]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[356] -- Handsize[206] -- Decksize[135]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[357] -- Handsize[152] -- Decksize[178]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[358] -- Handsize[98] -- Decksize[220]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[359] -- Handsize[44] -- Decksize[263]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[360] -- Handsize[490] -- Decksize[305]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[361] -- Handsize[435] -- Decksize[348]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[362] -- Handsize[381] -- Decksize[390]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[363] -- Handsize[327] -- Decksize[433]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[364] -- Handsize[273] -- Decksize[475]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[365] -- Handsize[219] -- Decksize[18]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[366] -- Handsize[164] -- Decksize[60]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[367] -- Handsize[110] -- Decksize[103]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[368] -- Handsize[56] -- Decksize[145]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[369] -- Handsize[2] -- Decksize[188]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[370] -- Handsize[448] -- Decksize[231]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[371] -- Handsize[393] -- Decksize[273]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[372] -- Handsize[339] -- Decksize[316]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[373] -- Handsize[285] -- Decksize[358]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[374] -- Handsize[231] -- Decksize[401]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[375] -- Handsize[177] -- Decksize[443]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[376] -- Handsize[122] -- Decksize[486]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[377] -- Handsize[68] -- Decksize[28]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[378] -- Handsize[14] -- Decksize[71]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[379] -- Handsize[460] -- Decksize[113]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[380] -- Handsize[406] -- Decksize[156]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[381] -- Handsize[351] -- Decksize[198]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[382] -- Handsize[297] -- Decksize[241]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[383] -- Handsize[243] -- Decksize[283]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[384] -- Handsize[189] -- Decksize[326]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[385] -- Handsize[135] -- Decksize[368]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[386] -- Handsize[80] -- Decksize[411]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[387] -- Handsize[26] -- Decksize[453]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[388] -- Handsize[472] -- Decksize[496]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[389] -- Handsize[418] -- Decksize[38]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[390] -- Handsize[364] -- Decksize[81]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[391] -- Handsize[310] -- Decksize[123]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[392] -- Handsize[255] -- Decksize[166]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[393] -- Handsize[201] -- Decksize[208]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[394] -- Handsize[147] -- Decksize[251]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[395] -- Handsize[93] -- Decksize[293]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[396] -- Handsize[39] -- Decksize[336]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[397] -- Handsize[484] -- Decksize[378]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[398] -- Handsize[430] -- Decksize[421]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[399] -- Handsize[376] -- Decksize[463]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[400] -- Handsize[322] -- Decksize[6]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[401] -- Handsize[268] -- Decksize[49]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[402] -- Handsize[213] -- Decksize[91]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[403] -- Handsize[159] -- Decksize[134]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[404] -- Handsize[105] -- Decksize[176]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[405] -- Handsize[51] -- Decksize[219]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[406] -- Handsize[497] -- Decksize[261]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[407] -- Handsize[442] -- Decksize[304]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[408] -- Handsize[388] -- Decksize[346]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[409] -- Handsize[334] -- Decksize[389]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[410] -- Handsize[280] -- Decksize[431]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[411] -- Handsize[226] -- Decksize[474]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[412] -- Handsize[171] -- Decksize[16]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[413] -- Handsize[117] -- Decksize[59]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[414] -- Handsize[63] -- Decksize[101]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[415] -- Handsize[9] -- Decksize[144]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[416] -- Handsize[455] -- Decksize[186]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[417] -- Handsize[400] -- Decksize[229]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[418] -- Handsize[346] -- Decksize[271]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[419] -- Handsize[292] -- Decksize[314]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[420] -- Handsize[238] -- Decksize[356]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[421] -- Handsize[184] -- Decksize[399]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[422] -- Handsize[129] -- Decksize[441]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[423] -- Handsize[75] -- Decksize[484]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[424] -- Handsize[21] -- Decksize[26]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[425] -- Handsize[467] -- Decksize[69]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[426] -- Handsize[413] -- Decksize[111]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[427] -- Handsize[359] -- Decksize[154]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[428] -- Handsize[304] -- Decksize[196]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[429] -- Handsize[250] -- Decksize[239]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[430] -- Handsize[196] -- Decksize[281]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[431] -- Handsize[142] -- Decksize[324]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[432] -- Handsize[88] -- Decksize[367]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[433] -- Handsize[33] -- Decksize[409]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[434] -- Handsize[479] -- Decksize[452]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[435] -- Handsize[425] -- Decksize[494]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[436] -- Handsize[371] -- Decksize[37]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[437] -- Handsize[317] -- Decksize[79]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[438] -- Handsize[262] -- Decksize[122]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[439] -- Handsize[208] -- Decksize[164]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[440] -- Handsize[154] -- Decksize[207]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[441] -- Handsize[100] -- Decksize[249]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[442] -- Handsize[46] -- Decksize[292]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[443] -- Handsize[491] -- Decksize[334]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[444] -- Handsize[437] -- Decksize[377]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[445] -- Handsize[383] -- Decksize[419]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[446] -- Handsize[329] -- Decksize[462]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[447] -- Handsize[275] -- Decksize[4]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[448] -- Handsize[220] -- Decksize[47]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[449] -- Handsize[166] -- Decksize[89]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[450] -- Handsize[112] -- Decksize[132]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[451] -- Handsize[58] -- Decksize[174]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[452] -- Handsize[4] -- Decksize[217]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[453] -- Handsize[449] -- Decksize[259]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[454] -- Handsize[395] -- Decksize[302]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[455] -- Handsize[341] -- Decksize[344]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[456] -- Handsize[287] -- Decksize[387]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[457] -- Handsize[233] -- Decksize[429]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[458] -- Handsize[178] -- Decksize[472]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[459] -- Handsize[124] -- Decksize[14]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[460] -- Handsize[70] -- Decksize[57]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[461] -- Handsize[16] -- Decksize[99]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[462] -- Handsize[462] -- Decksize[142]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[463] -- Handsize[408] -- Decksize[185]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[464] -- Handsize[353] -- Decksize[227]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[465] -- Handsize[299] -- Decksize[270]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[466] -- Handsize[245] -- Decksize[312]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[467] -- Handsize[191] -- Decksize[355]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[468] -- Handsize[137] -- Decksize[397]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[469] -- Handsize[82] -- Decksize[440]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[470] -- Handsize[28] -- Decksize[482]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[471] -- Handsize[474] -- Decksize[25]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[472] -- Handsize[420] -- Decksize[67]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[473] -- Handsize[366] -- Decksize[110]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[474] -- Handsize[311] -- Decksize[152]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[475] -- Handsize[257] -- Decksize[195]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[476] -- Handsize[203] -- Decksize[237]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[477] -- Handsize[149] -- Decksize[280]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[478] -- Handsize[95] -- Decksize[322]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[479] -- Handsize[40] -- Decksize[365]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[480] -- Handsize[486] -- Decksize[407]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[481] -- Handsize[432] -- Decksize[450]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[482] -- Handsize[378] -- Decksize[492]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[483] -- Handsize[324] -- Decksize[35]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[484] -- Handsize[269] -- Decksize[77]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[485] -- Handsize[215] -- Decksize[120]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[486] -- Handsize[161] -- Decksize[162]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[487] -- Handsize[107] -- Decksize[205]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[488] -- Handsize[53] -- Decksize[247]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[489] -- Handsize[498] -- Decksize[290]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[490] -- Handsize[444] -- Decksize[332]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[491] -- Handsize[390] -- Decksize[375]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[492] -- Handsize[336] -- Decksize[417]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[493] -- Handsize[282] -- Decksize[460]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[494] -- Handsize[227] -- Decksize[3]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[495] -- Handsize[173] -- Decksize[45]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[496] -- Handsize[119] -- Decksize[88]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[497] -- Handsize[65] -- Decksize[130]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[498] -- Handsize[11] -- Decksize[173]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[499] -- Handsize[457] -- Decksize[215]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[500] -- Handsize[402] -- Decksize[258]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[501] -- Handsize[348] -- Decksize[300]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[502] -- Handsize[294] -- Decksize[343]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[503] -- Handsize[240] -- Decksize[385]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[504] -- Handsize[186] -- Decksize[428]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[505] -- Handsize[131] -- Decksize[470]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[506] -- Handsize[77] -- Decksize[13]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[507] -- Handsize[23] -- Decksize[55]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[508] -- Handsize[469] -- Decksize[98]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[509] -- Handsize[415] -- Decksize[140]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[510] -- Handsize[360] -- Decksize[183]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[511] -- Handsize[306] -- Decksize[225]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[512] -- Handsize[252] -- Decksize[268]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[513] -- Handsize[198] -- Decksize[310]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[514] -- Handsize[144] -- Decksize[353]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[515] -- Handsize[89] -- Decksize[395]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[516] -- Handsize[35] -- Decksize[438]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[517] -- Handsize[481] -- Decksize[480]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[518] -- Handsize[427] -- Decksize[23]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[519] -- Handsize[373] -- Decksize[65]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[520] -- Handsize[318] -- Decksize[108]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[521] -- Handsize[264] -- Decksize[150]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[522] -- Handsize[210] -- Decksize[193]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[523] -- Handsize[156] -- Decksize[235]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[524] -- Handsize[102] -- Decksize[278]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[525] -- Handsize[47] -- Decksize[321]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[526] -- Handsize[493] -- Decksize[363]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[527] -- Handsize[439] -- Decksize[406]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[528] -- Handsize[385] -- Decksize[448]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[529] -- Handsize[331] -- Decksize[491]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[530] -- Handsize[276] -- Decksize[33]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[531] -- Handsize[222] -- Decksize[76]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[532] -- Handsize[168] -- Decksize[118]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[533] -- Handsize[114] -- Decksize[161]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[534] -- Handsize[60] -- Decksize[203]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[535] -- Handsize[6] -- Decksize[246]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[536] -- Handsize[451] -- Decksize[288]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[537] -- Handsize[397] -- Decksize[331]
#TESTS PASSED: 1, TESTS FAILED: 2
